,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Sqrt(325) [newton]",,0.034,"735,000,000",0.061,"819,000,000",0.107,"934,000,000",0.259,"965,000,000",0.453,"1,100,000,000",0.884,"1,130,000,000",2.235,"1,110,000,000",4.894,"1,020,000,000",10.517,"950,000,000",29.798,"838,000,000",63.846,"783,000,000",135.321,"738,000,000"
"Sqrt(Pi) [Simple]",,0.337,"74,100,000",0.527,"94,800,000",1.006,"99,400,000",2.539,"98,400,000",5.020,"99,600,000",10.013,"99,800,000",26.975,"92,600,000",,,,,,,,,,
"Universal Parabolic Constant [Definition]",,3.190,"7,830,000",5.454,"9,160,000",9.864,"10,100,000",24.328,"10,200,000",46.265,"10,800,000",90.983,"10,900,000",251.952,"9,920,000",,,,,,,,,,
"Unnormalized Fresnel C(1) [Series]",,0.184,"135,000,000",0.297,"168,000,000",0.567,"176,000,000",1.353,"184,000,000",2.584,"193,000,000",5.055,"197,000,000",13.040,"191,000,000",,,,,,,,,,
"Unnormalized Fresnel S(1) [Series]",,0.186,"134,000,000",0.303,"165,000,000",0.565,"176,000,000",1.355,"184,000,000",2.582,"193,000,000",5.074,"197,000,000",13.125,"190,000,000",,,,,,,,,,
"Zeta(2) [Chudnovsky]",,0.285,"87,700,000",0.467,"107,000,000",0.913,"109,000,000",2.296,"108,000,000",4.572,"109,000,000",9.270,"107,000,000",25.057,"99,700,000",,,,,,,,,,
"Zeta(2) [Direct]",,0.439,"56,900,000",0.696,"71,800,000",1.372,"72,800,000",3.517,"71,000,000",6.967,"71,700,000",14.389,"69,400,000",38.982,"64,100,000",,,,,,,,,,
"Zeta(3) - Apery's Constant [az]",7,1.312,"19,000,000",2.051,"24,300,000",4.210,"23,700,000",10.895,"22,900,000",22.357,"22,300,000",46.924,"21,300,000",129.880,"19,200,000",,,,,,,,,,
"Zeta(3) - Apery's Constant [wedeniwski]",7,1.223,"20,400,000",1.950,"25,600,000",4.059,"24,600,000",10.455,"23,900,000",21.443,"23,300,000",44.960,"22,200,000",123.489,"20,200,000",,,,,,,,,,
"Zeta(4) [Chudnovsky]",,0.289,"86,500,000",0.475,"105,000,000",0.916,"109,000,000",2.334,"107,000,000",4.644,"107,000,000",9.379,"106,000,000",25.432,"98,300,000",,,,,,,,,,
"Zeta(4) [Direct]",,0.453,"55,100,000",0.709,"70,500,000",1.402,"71,300,000",3.530,"70,800,000",7.028,"71,100,000",14.553,"68,700,000",39.475,"63,300,000",,,,,,,,,,
"Zeta(5) [BBP-Kruse]",13,11.685,"2,130,000",19.226,"2,600,000",39.045,"2,560,000",99.555,"2,510,000",202.536,"2,460,000",421.206,"2,370,000",1152.336,"2,160,000",,,,,,,,,,
"Zeta(5) [Broadhurst (optimized)]",13,23.131,"1,080,000",37.773,"1,320,000",76.308,"1,310,000",195.021,"1,280,000",394.496,"1,260,000",818.891,"1,220,000",2239.181,"1,110,000",,,,,,,,,,
"e [exp(-1)]",2,0.071,"352,000,000",0.131,"381,000,000",0.251,"398,000,000",0.638,"391,000,000",1.247,"400,000,000",2.515,"397,000,000",6.734,"371,000,000",,,,,,,,,,
"e [exp(1)]",2,0.070,"357,000,000",0.132,"378,000,000",0.254,"393,000,000",0.623,"401,000,000",1.251,"399,000,000",2.524,"396,000,000",6.761,"369,000,000",,,,,,,,,,
