,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Khinchin-Levy [Definition]",,0.602,"41,500,000",,,,,,,,,,,,,,,,,,,,,,
"Lemniscate [Series-Pi]",9,0.890,"28,000,000",,,,,,,,,,,,,,,,,,,,,,
"Lemniscate Constant [agm-pi]",9,1.624,"15,300,000",,,,,,,,,,,,,,,,,,,,,,
"Log(10) [machin-primary]",12,0.505,"49,500,000",,,,,,,,,,,,,,,,,,,,,,
"Log(10) [machin-secondary]",12,0.513,"48,700,000",,,,,,,,,,,,,,,,,,,,,,
"Log(2) [machin-primary]",6,0.409,"61,100,000",,,,,,,,,,,,,,,,,,,,,,
"Log(2) [machin-secondary]",6,0.508,"49,200,000",,,,,,,,,,,,,,,,,,,,,,
"Log(3) [machin-primary]",,0.492,"50,800,000",,,,,,,,,,,,,,,,,,,,,,
"Log(3) [machin-secondary]",,0.521,"47,900,000",,,,,,,,,,,,,,,,,,,,,,
"Log(5) [machin-primary]",,0.530,"47,100,000",,,,,,,,,,,,,,,,,,,,,,
"Log(5) [machin-secondary]",,0.484,"51,600,000",,,,,,,,,,,,,,,,,,,,,,
"Log(7) [machin-primary]",,0.507,"49,300,000",,,,,,,,,,,,,,,,,,,,,,
"Log(7) [machin-secondary]",,0.522,"47,800,000",,,,,,,,,,,,,,,,,,,,,,
"Log(Pi) [Definition]",,3.206,"7,790,000",,,,,,,,,,,,,,,,,,,,,,
"Log10(2) [Machin (4 terms)]",,0.562,"44,400,000",,,,,,,,,,,,,,,,,,,,,,
"Pi [chudnovsky]",1,0.163,"153,000,000",0.289,"173,000,000",0.531,"188,000,000",1.288,"194,000,000",2.499,"200,000,000",5.149,"194,000,000",13.633,"183,000,000",29.655,"168,000,000",64.026,"156,000,000",182.920,"136,000,000",410.842,"121,000,000",943.182,"106,000,000"
"Pi^-1 [Native]",,0.188,"132,000,000",,,,,,,,,,,,,,,,,,,,,,
"Sin(1) [Series]",,0.095,"263,000,000",,,,,,,,,,,,,,,,,,,,,,
"Sin(1) [Triple Angle Formula]",,0.108,"231,000,000",,,,,,,,,,,,,,,,,,,,,,
"Sqrt(125) [newton]",5,0.049,"510,000,000",,,,,,,,,,,,,,,,,,,,,,
"Sqrt(2) [newton]",4,0.047,"531,000,000",,,,,,,,,,,,,,,,,,,,,,
"Sqrt(200) [newton]",4,0.049,"510,000,000",,,,,,,,,,,,,,,,,,,,,,
"Sqrt(325) [newton]",,0.046,"543,000,000",,,,,,,,,,,,,,,,,,,,,,
"Sqrt(Pi) [Simple]",,0.236,"105,000,000",,,,,,,,,,,,,,,,,,,,,,
"Universal Parabolic Constant [Definition]",,3.145,"7,940,000",,,,,,,,,,,,,,,,,,,,,,
"Unnormalized Fresnel C(1) [Series]",,0.131,"190,000,000",,,,,,,,,,,,,,,,,,,,,,
"Unnormalized Fresnel S(1) [Series]",,0.130,"192,000,000",,,,,,,,,,,,,,,,,,,,,,
"Zeta(2) [Chudnovsky]",,0.163,"153,000,000",,,,,,,,,,,,,,,,,,,,,,
"Zeta(2) [Direct]",,0.214,"116,000,000",,,,,,,,,,,,,,,,,,,,,,
"Zeta(3) - Apery's Constant [az]",7,0.448,"55,800,000",,,,,,,,,,,,,,,,,,,,,,
"Zeta(3) - Apery's Constant [wedeniwski]",7,0.461,"54,200,000",,,,,,,,,,,,,,,,,,,,,,
"Zeta(4) [Chudnovsky]",,0.156,"160,000,000",,,,,,,,,,,,,,,,,,,,,,
"Zeta(4) [Direct]",,0.222,"112,000,000",,,,,,,,,,,,,,,,,,,,,,
"Zeta(5) [BBP-Kruse]",13,4.384,"5,700,000",,,,,,,,,,,,,,,,,,,,,,
"Zeta(5) [Broadhurst (optimized)]",13,9.420,"2,650,000",,,,,,,,,,,,,,,,,,,,,,
"e [exp(-1)]",2,0.093,"268,000,000",,,,,,,,,,,,,,,,,,,,,,
"e [exp(1)]",2,0.088,"284,000,000",0.118,"423,000,000",0.176,"568,000,000",0.378,"661,000,000",0.711,"703,000,000",1.418,"705,000,000",3.842,"650,000,000",8.496,"588,000,000",18.662,"535,000,000",50.506,"494,000,000",,,,
