,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,
"Log(5) [machin-primary]",,0.730,"34,200,000",1.549,"32,200,000",3.336,"29,900,000",8.712,"28,600,000",17.909,"27,900,000",37.659,"26,500,000",103.067,"24,200,000",224.471,"22,200,000",,,,
"Log(5) [machin-secondary]",,0.765,"32,600,000",1.617,"30,900,000",3.450,"28,900,000",9.080,"27,500,000",18.763,"26,600,000",39.326,"25,400,000",107.162,"23,300,000",234.973,"21,200,000",,,,
"Log(7) [machin-primary]",,0.733,"34,100,000",1.550,"32,200,000",3.326,"30,000,000",8.706,"28,700,000",17.966,"27,800,000",37.618,"26,500,000",102.985,"24,200,000",224.987,"22,200,000",,,,
"Log(7) [machin-secondary]",,0.762,"32,800,000",1.619,"30,800,000",3.448,"29,000,000",9.082,"27,500,000",18.742,"26,600,000",39.331,"25,400,000",107.283,"23,300,000",234.910,"21,200,000",,,,
"Log(Pi) [Definition]",,3.475,"7,190,000",6.278,"7,960,000",12.089,"8,270,000",30.411,"8,220,000",61.070,"8,180,000",124.653,"8,020,000",338.524,"7,380,000",,,,,,
"Log10(2) [Machin (4 terms)]",,0.767,"32,500,000",1.598,"31,200,000",3.421,"29,200,000",8.920,"28,000,000",18.313,"27,300,000",38.282,"26,100,000",104.784,"23,800,000",228.109,"21,900,000",,,,
"Pi [chudnovsky]",1,0.261,"95,700,000",0.528,"94,600,000",1.130,"88,400,000",2.882,"86,700,000",5.900,"84,700,000",12.251,"81,600,000",33.601,"74,400,000",73.243,"68,200,000",159.600,"62,600,000",454.525,"55,000,000"
"Pi^-1 [Native]",,0.261,"95,700,000",0.530,"94,300,000",1.135,"88,100,000",2.876,"86,900,000",5.879,"85,000,000",12.257,"81,500,000",33.612,"74,300,000",73.426,"68,000,000",159.929,"62,500,000",455.776,"54,800,000"
"Sin(1) [Half Angle Formula]",,0.177,"141,000,000",0.331,"151,000,000",0.612,"163,000,000",1.488,"168,000,000",2.982,"167,000,000",6.205,"161,000,000",16.337,"153,000,000",34.861,"143,000,000",74.506,"134,000,000",204.883,"122,000,000"
"Sin(1) [Series]",,0.096,"260,000,000",0.177,"282,000,000",0.333,"300,000,000",0.845,"295,000,000",1.710,"292,000,000",3.528,"283,000,000",9.229,"270,000,000",20.157,"248,000,000",42.606,"234,000,000",118.088,"211,000,000"
"Sin(1) [Triple Angle Formula]",,0.108,"231,000,000",0.195,"256,000,000",0.373,"268,000,000",0.958,"260,000,000",1.900,"263,000,000",3.894,"256,000,000",10.336,"241,000,000",22.243,"224,000,000",47.366,"211,000,000",131.758,"189,000,000"
"Sqrt(125) [newton]",5,0.045,"555,000,000",0.076,"657,000,000",0.132,"757,000,000",0.317,"788,000,000",0.619,"807,000,000",1.237,"808,000,000",3.198,"781,000,000",6.877,"727,000,000",14.479,"690,000,000",40.036,"624,000,000"
"Sqrt(2) [newton]",4,0.045,"555,000,000",0.076,"657,000,000",0.133,"751,000,000",0.314,"796,000,000",0.609,"821,000,000",1.231,"812,000,000",3.173,"787,000,000",6.867,"728,000,000",14.398,"694,000,000",39.567,"631,000,000"
"Sqrt(200) [newton]",4,0.046,"543,000,000",0.076,"657,000,000",0.133,"751,000,000",0.314,"796,000,000",0.618,"809,000,000",1.232,"811,000,000",3.214,"777,000,000",6.830,"732,000,000",14.653,"682,000,000",39.611,"631,000,000"
"Sqrt(325) [newton]",,0.045,"555,000,000",0.075,"666,000,000",0.132,"757,000,000",0.319,"783,000,000",0.618,"809,000,000",1.235,"809,000,000",3.168,"789,000,000",6.860,"728,000,000",14.518,"688,000,000",39.749,"628,000,000"
"Sqrt(Pi) [Simple]",,0.298,"83,800,000",0.586,"85,300,000",1.229,"81,300,000",3.120,"80,100,000",6.328,"79,000,000",13.131,"76,100,000",35.569,"70,200,000",77.317,"64,600,000",,,,
"Universal Parabolic Constant [Definition]",,3.394,"7,360,000",6.180,"8,090,000",12.341,"8,100,000",30.906,"8,080,000",61.945,"8,070,000",125.990,"7,930,000",344.298,"7,260,000",,,,,,
"Unnormalized Fresnel C(1) [Series]",,0.156,"160,000,000",0.326,"153,000,000",0.661,"151,000,000",1.628,"153,000,000",3.270,"152,000,000",6.605,"151,000,000",17.206,"145,000,000",36.622,"136,000,000",77.470,"129,000,000",217.225,"115,000,000"
"Unnormalized Fresnel S(1) [Series]",,0.157,"159,000,000",0.330,"151,000,000",0.657,"152,000,000",1.623,"154,000,000",3.262,"153,000,000",6.602,"151,000,000",17.271,"144,000,000",36.576,"136,000,000",77.422,"129,000,000",217.732,"114,000,000"
"Zeta(2) [Chudnovsky]",,0.247,"101,000,000",0.511,"97,800,000",1.101,"90,800,000",2.814,"88,800,000",5.758,"86,800,000",12.013,"83,200,000",33.020,"75,700,000",71.944,"69,400,000",157.163,"63,600,000",447.563,"55,800,000"
"Zeta(2) [Direct]",,0.367,"68,100,000",0.779,"64,100,000",1.633,"61,200,000",4.217,"59,200,000",8.782,"56,900,000",18.708,"53,400,000",51.340,"48,600,000",112.051,"44,600,000",247.873,"40,300,000",713.606,"35,000,000"
"Zeta(4) [Chudnovsky]",,0.251,"99,600,000",0.524,"95,400,000",1.131,"88,400,000",2.862,"87,300,000",5.867,"85,200,000",12.250,"81,600,000",33.612,"74,300,000",73.108,"68,300,000",159.410,"62,700,000",452.842,"55,200,000"
"Zeta(4) [Direct]",,0.371,"67,300,000",0.787,"63,500,000",1.653,"60,400,000",4.268,"58,500,000",8.890,"56,200,000",18.938,"52,800,000",51.889,"48,100,000",112.419,"44,400,000",,,,
"Zeta(5) [BBP-Kruse]",13,8.562,"2,910,000",19.574,"2,550,000",44.055,"2,260,000",119.973,"2,080,000",253.519,"1,970,000",539.872,"1,850,000",1498.138,"1,660,000",,,,,,
"e [exp(-1)]",2,0.094,"265,000,000",0.170,"294,000,000",0.315,"317,000,000",0.816,"306,000,000",1.645,"303,000,000",3.397,"294,000,000",8.904,"280,000,000",19.639,"254,000,000",41.839,"239,000,000",117.069,"213,000,000"
"e [exp(1)]",2,0.090,"277,000,000",0.172,"290,000,000",0.318,"314,000,000",0.822,"304,000,000",1.640,"304,000,000",3.407,"293,000,000",8.906,"280,000,000",19.671,"254,000,000",41.754,"239,000,000",116.603,"214,000,000"
