,,25m,,50m,,100m,,250m,,500m,,1b,
"Sqrt(2) [newton]",4,0.479,"52,100,000",1.030,"48,500,000",2.230,"44,800,000",6.108,"40,900,000",13.321,"37,500,000",29.090,"34,300,000"
"Sqrt(200) [newton]",4,0.478,"52,300,000",1.030,"48,500,000",2.230,"44,800,000",6.132,"40,700,000",13.405,"37,200,000",29.300,"34,100,000"
"Sqrt(325) [newton]",,0.478,"52,300,000",1.020,"49,000,000",2.232,"44,800,000",6.095,"41,000,000",13.416,"37,200,000",29.312,"34,100,000"
"Sqrt(Pi) [Simple]",,4.407,"5,670,000",10.040,"4,980,000",22.527,"4,430,000",65.659,"3,800,000",146.109,"3,420,000",327.144,"3,050,000"
"Universal Parabolic Constant [Definition]",,41.466,"602,000",90.491,"552,000",197.841,"505,000",580.118,"430,000",1286.486,"388,000",2816.330,"355,000"
"Unnormalized Fresnel C(1) [Series]",,2.669,"9,360,000",5.837,"8,560,000",12.697,"7,870,000",35.194,"7,100,000",76.699,"6,510,000",166.097,"6,020,000"
"Unnormalized Fresnel S(1) [Series]",,2.655,"9,410,000",5.767,"8,670,000",12.621,"7,920,000",35.212,"7,090,000",76.387,"6,540,000",165.823,"6,030,000"
"Zeta(2) [Chudnovsky]",,4.187,"5,970,000",9.455,"5,280,000",21.344,"4,680,000",61.859,"4,040,000",137.190,"3,640,000",309.409,"3,230,000"
"Zeta(2) [Direct]",,6.217,"4,020,000",14.036,"3,560,000",32.315,"3,090,000",94.219,"2,650,000",212.057,"2,350,000",481.691,"2,070,000"
"Zeta(3) - Apery's Constant [az]",7,19.364,"1,290,000",44.828,"1,110,000",102.594,"974,000",303.672,"823,000",693.432,"721,000",1581.105,"632,000"
"Zeta(3) - Apery's Constant [wedeniwski]",7,18.661,"1,330,000",42.900,"1,160,000",97.929,"1,020,000",292.268,"855,000",661.744,"755,000",1510.384,"662,000"
"Zeta(4) [Chudnovsky]",,4.218,"5,920,000",9.639,"5,180,000",21.756,"4,590,000",62.753,"3,980,000",139.545,"3,580,000",313.777,"3,180,000"
"Zeta(4) [Direct]",,6.258,"3,990,000",14.127,"3,530,000",32.648,"3,060,000",95.281,"2,620,000",214.303,"2,330,000",485.737,"2,050,000"
"Zeta(5) [BBP-Kruse]",13,177.160,"141,000",401.474,"124,000",910.561,"109,000",2692.875,"92,800",6096.765,"82,000",13641.530,"73,300"
"Zeta(5) [Broadhurst (optimized)]",13,335.467,"74,500",765.820,"65,200",1742.118,"57,400",5103.569,"48,900",11604.083,"43,000",26251.254,"38,000"
"e [exp(-1)]",2,1.373,"18,200,000",3.043,"16,400,000",6.574,"15,200,000",18.910,"13,200,000",41.598,"12,000,000",91.699,"10,900,000"
"e [exp(1)]",2,1.376,"18,100,000",3.023,"16,500,000",6.644,"15,000,000",18.909,"13,200,000",41.627,"12,000,000",91.938,"10,800,000"
