,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,
"Log(5) [machin-secondary]",,5.698,"4,380,000",13.077,"3,820,000",29.382,"3,400,000",85.972,"2,900,000",192.903,"2,590,000",428.762,"2,330,000",1208.081,"2,060,000"
"Log(7) [machin-primary]",,5.487,"4,550,000",12.531,"3,990,000",28.192,"3,540,000",82.044,"3,040,000",184.370,"2,710,000",410.271,"2,430,000",1167.080,"2,140,000"
"Log(7) [machin-secondary]",,5.733,"4,360,000",13.060,"3,820,000",29.264,"3,410,000",85.934,"2,900,000",192.973,"2,590,000",428.557,"2,330,000",1207.782,"2,060,000"
"Log(Pi) [Definition]",,17.412,"1,430,000",38.284,"1,300,000",85.733,"1,160,000",253.533,"986,000",562.011,"889,000",1227.745,"814,000",3252.849,"768,000"
"Log10(2) [Machin (4 terms)]",,5.622,"4,440,000",12.788,"3,900,000",28.607,"3,490,000",83.470,"2,990,000",186.966,"2,670,000",415.297,"2,400,000",1181.592,"2,110,000"
"Pi [chudnovsky]",1,1.694,"14,700,000",3.945,"12,600,000",8.786,"11,300,000",25.813,"9,680,000",57.845,"8,640,000",129.546,"7,710,000",369.519,"6,760,000"
"Pi^-1 [Native]",,1.700,"14,700,000",3.957,"12,600,000",8.830,"11,300,000",25.924,"9,640,000",58.056,"8,610,000",129.847,"7,700,000",369.528,"6,760,000"
"Sin(1) [Series]",,0.647,"38,600,000",1.375,"36,300,000",3.001,"33,300,000",8.684,"28,700,000",18.906,"26,400,000",40.837,"24,400,000",109.353,"22,800,000"
"Sin(1) [Triple Angle Formula]",,0.700,"35,700,000",1.494,"33,400,000",3.244,"30,800,000",9.524,"26,200,000",20.627,"24,200,000",44.388,"22,500,000",117.608,"21,200,000"
"Sqrt(125) [newton]",5,0.206,"121,000,000",0.431,"116,000,000",0.919,"108,000,000",2.561,"97,600,000",5.634,"88,700,000",12.343,"81,000,000",33.771,"74,000,000"
"Sqrt(2) [newton]",4,0.206,"121,000,000",0.431,"116,000,000",0.918,"108,000,000",2.577,"97,000,000",5.644,"88,500,000",12.312,"81,200,000",33.700,"74,100,000"
"Sqrt(200) [newton]",4,0.206,"121,000,000",0.431,"116,000,000",0.919,"108,000,000",2.579,"96,900,000",5.641,"88,600,000",12.339,"81,000,000",33.739,"74,000,000"
"Sqrt(325) [newton]",,0.206,"121,000,000",0.433,"115,000,000",0.922,"108,000,000",2.606,"95,900,000",5.669,"88,100,000",12.358,"80,900,000",33.769,"74,000,000"
"Sqrt(Pi) [Simple]",,1.867,"13,300,000",4.231,"11,800,000",9.386,"10,600,000",27.569,"9,060,000",61.675,"8,100,000",137.481,"7,270,000",388.726,"6,430,000"
"Universal Parabolic Constant [Definition]",,17.510,"1,420,000",38.457,"1,300,000",85.714,"1,160,000",254.700,"981,000",567.136,"881,000",1232.739,"811,000",3262.009,"766,000"
"Unnormalized Fresnel C(1) [Series]",,1.144,"21,800,000",2.515,"19,800,000",5.505,"18,100,000",15.622,"16,000,000",33.979,"14,700,000",73.120,"13,600,000",199.984,"12,500,000"
"Unnormalized Fresnel S(1) [Series]",,1.142,"21,800,000",2.506,"19,900,000",5.501,"18,100,000",15.605,"16,000,000",33.902,"14,700,000",72.983,"13,700,000",199.737,"12,500,000"
"Zeta(2) [Chudnovsky]",,1.740,"14,300,000",4.006,"12,400,000",8.936,"11,100,000",26.034,"9,600,000",58.092,"8,600,000",130.170,"7,680,000",371.274,"6,730,000"
"Zeta(2) [Direct]",,2.570,"9,720,000",5.912,"8,450,000",13.431,"7,440,000",39.257,"6,360,000",88.769,"5,630,000",198.851,"5,020,000",559.826,"4,460,000"
"Zeta(3) - Apery's Constant [zuniga2023v]",7,6.479,"3,850,000",15.000,"3,330,000",34.370,"2,900,000",102.673,"2,430,000",232.678,"2,140,000",524.587,"1,900,000",1539.355,"1,620,000"
"Zeta(3) - Apery's Constant [zuniga2023vi]",7,5.833,"4,280,000",13.553,"3,680,000",30.995,"3,220,000",92.341,"2,700,000",210.798,"2,370,000",476.970,"2,090,000",1384.703,"1,800,000"
"Zeta(4) [Chudnovsky]",,1.744,"14,300,000",4.062,"12,300,000",9.056,"11,000,000",26.407,"9,460,000",58.969,"8,470,000",131.617,"7,590,000",375.660,"6,650,000"
"Zeta(4) [Direct]",,2.626,"9,520,000",5.971,"8,370,000",13.563,"7,370,000",39.724,"6,290,000",89.698,"5,570,000",200.404,"4,980,000",563.353,"4,430,000"
"Zeta(5) [BBP-Kruse]",13,76.973,"324,000",175.201,"285,000",397.217,"251,000",1161.175,"215,000",2618.134,"190,000",5854.636,"170,000",,
"Zeta(5) [Y. Zhao (2018)]",13,102.837,"243,000",236.183,"211,000",542.375,"184,000",1597.132,"156,000",3615.483,"138,000",8126.351,"123,000",,
"e [exp(-1)]",2,0.591,"42,300,000",1.255,"39,800,000",2.802,"35,600,000",8.232,"30,300,000",17.976,"27,800,000",38.878,"25,700,000",104.640,"23,800,000"
"e [exp(1)]",2,0.588,"42,500,000",1.259,"39,700,000",2.734,"36,500,000",8.246,"30,300,000",18.001,"27,700,000",38.909,"25,700,000",104.620,"23,800,000"
"i^i [ArcSin(1d2)]",,42.209,"592,000",95.439,"523,000",214.331,"466,000",622.129,"401,000",1392.905,"358,000",3113.068,"321,000",9029.351,"276,000"
"i^i [Invsqrt(Exp(Pi))]",,82.747,"302,000",187.266,"266,000",421.022,"237,000",1223.227,"204,000",2740.833,"182,000",6115.429,"163,000",,
